"Phage","Sample","DTPM","logDTPM","RTPM","logRTPM"
"DAD_1453||","L",38.4559246828763,1.59611222589489,NA,NA
"DAD_1469||","B",0,0,86.9435819535086,1.94420415051455
"DAD_1469||","D",1154.53327718097,3.06278245685794,916.110471773013,2.96242165234584
"DAD_1469||","L",25.9450513608977,1.43047901575662,NA,NA
"DAD_1551||","B",18.311492022929,1.28581582905089,12.717466276829,1.13727390119506
"DAD_1551||","D",933.677446145748,2.97066176324966,21.4818692305888,1.35183241734103
"DAD_1551||","L",48.2276908553301,1.6922094646107,NA,NA
"DAD_160||","B",738.158130154357,2.86873735816074,258.02992901657,2.41334994653609
"DAD_160||","D",919.726543243541,2.9641306634274,130.309710186112,2.11829684280173
"DAD_160||","L",1895.70780538867,3.2780004314256,NA,NA
"DAD_164||","B",18.7376299119304,1.29529500152674,206.781437362255,2.31760674624698
"DAD_164||","D",756.715073030843,2.87950592664366,187.047402885947,2.27426733977867
"DAD_164||","L",48.7955321532822,1.697190377936,NA,NA
"DAD_1712||","B",0,0,26.6911610644429,1.44234116568813
"DAD_1712||","D",642.688024199762,2.80867542916572,14.1936503135028,1.18166212676329
"DAD_1712||","L",65.8490897067646,1.82509549779066,NA,NA
"DAD_1741||","B",4698.35667926932,3.67203840904929,133.89402138223,2.12999270179759
"DAD_1741||","D",1079.64159973309,3.03368168186576,68.5919522296835,1.84255901972086
"DAD_1741||","L",26912.9964636652,4.42997819100967,NA,NA
"DAD_1756||","B",77.5968111260314,1.89540492595719,34.0087119878094,1.54417613284795
"DAD_1756||","D",614.928899582257,2.78953058180523,27.7582638517482,1.4587626639652
"DAD_1756||","L",65.4442452879914,1.82245737281982,NA,NA
"DAD_1869||","B",50.0158835072846,1.70770541228637,114.623228809604,2.06304509299805
"DAD_1869||","D",1250.29473420428,3.09735961693756,179.217889943654,2.25579790050633
"DAD_1869||","L",34.9303290991061,1.55546119508584,NA,NA
"DAD_19||","B",46.5942308309933,1.67755431259207,30.6679569546498,1.50062004594398
"DAD_19||","D",1457.4222432336,3.16388327937151,21.2115852122702,1.34657955469319
"DAD_19||","L",20.0759567528039,1.32378729874313,NA,NA
"DAD_1918||","B",40.4839898942917,1.61788051979373,63.6657498841265,1.81067431815251
"DAD_1918||","D",806.051366756872,2.9069011773356,26.8244871952177,1.44442716904127
"DAD_1918||","L",44.9259536915663,1.66205818356651,NA,NA
"DAD_193||","B",930.78932095673,2.96931772878215,125.814565123085,2.10316913674219
"DAD_193||","D",13652.0276000712,4.13522896816838,80.3312768264644,1.91025759037878
"DAD_193||","L",1947.65324516538,3.28973456507492,NA,NA
"DAD_1998||","B",2479.86094732388,3.39460242267514,25953.0269632962,4.41420475148138
"DAD_1998||","D",2019.73427869784,3.30550920867493,4700.04819737987,3.67219470380447
"DAD_1998||","L",1735.67285795203,3.23971801685411,NA,NA
"DAD_202||","B",16.2835184577926,1.23763215777592,20.1382288400527,1.32506859521283
"DAD_202||","D",671.382989100907,2.82761671750827,15.9309986283695,1.22868257452948
"DAD_202||","L",63.3660642294166,1.80865695427882,NA,NA
"DAD_2025||","B",20.7221371479084,1.33690255139028,6.67218449689072,0.884919037986662
"DAD_2025||","D",815.820608560298,2.91212668656062,55.9606912318047,1.75557525092966
"DAD_2025||","L",23.9156330040884,1.39647192528955,NA,NA
